"Party","Page Name","Page ID"
"CDA","CDA Gouda","441341285986856"
"CDA","CDA Groningen","546440435446924"
"CDA","CDA Gulpen Wittem","218912561617863"
"CDA","CDA Haarlem","616257468385419"
"CDA","CDA Haarlemmermeer","1402837839998846"
"CDA","CDA Harderwijk Hierden","1595248250741419"
"CDA","CDA Harlingen","192600774817587"
"CDA","CDA Hattem","202773499768178"
"CDA","CDA Heemskerk","1512067898874085"
"CDA","CDA Heerde-Wapenveld","341615632650320"
"CDA","CDA Heerenveen","486646384732930"
"CDA","CDA Heerlen","1732885833661470"
"CDA","CDA Hengelo","1808545256038781"
"CDA","CDA Heusden","193674334171412"
"CDA","CDA Hilvarenbeek","381817695316152"
"CDA","CDA Hoeksche Waard","184189882389473"
"CDA","CDA Hof van Twente","158885504316259"
"CDA","CDA Hoogeveen","517806454943781"
"CDA","CDA Hoorn","918994394906474"
"CDA","CDA Horst aan de Maas","503159416443481"
"CDA","CDA Houten","307471672711929"
"CDA","CDA Huizen","312923848793774"
"CDA","CDA IJsselstein","343890219086754"
"CDA","CDA Jongeren Molenlanden","111064193624351"
"CDA","CDA Kaag en Braassem","190987341063673"
"CDA","CDA Kampen","105401241918482"
"CDA","CDA Kapelle","1696079047364136"
"CDA","CDA Katwijk","135376383177889"
"CDA","CDA Kerkrade","599313950125078"
"CDA","CDA Koggenland","220365728121924"
"CDA","CDA Kop van Noord Holland","736861463159374"
"CDA","CDA Krimpen","307917159696642"
"CDA","CDA Krimpenerwaard","924019610958351"
"CDA","CDA Laarbeek","109094149607669"
"CDA","CDA Land van Cuijk","1747314645493404"
"CDA","CDA Landsmeer","633560950367726"
"CDA","CDA Lansingerland","429679917098992"
"CDA","CDA Leeuwarden","179852145391563"
"CDA","CDA Leiden","357316470970750"
"CDA","CDA Leiderdorp","149821422435371"
"CDA","CDA Lelystad","389108024487308"
"CDA","CDA Leudal","597561743725997"
"CDA","CDA Limburg","148429941847666"
"CDA","CDA Lingewaard","133680027220599"
"CDA","CDA Lisse","449134611796644"
"CDA","CDA Lochem","365454583589747"
"CDA","CDA Lopik","1459223944294289"
"CDA","CDA Maasdriel","439455562825964"
"CDA","CDA Maasgouw","1375624189347474"
"CDA","CDA Maashorst","168873463306935"
"CDA","CDA Maassluis","490283027720636"
"CDA","CDA Maastricht","305525042814385"
"CDA","CDA Medemblik","297370010365715"
"CDA","CDA Meierijstad","397157110494576"
"CDA","CDA Meppel","190690801121703"
"CDA","CDA Middelburg","755444914471736"
"CDA","CDA Midden-Delfland","591122050946195"
"CDA","CDA Midden-Drenthe","178954178962718"
"CDA","CDA Midden-Groningen","1649013595380040"
"CDA","CDA Mill en Sint Hubert","610561445683906"
"CDA","CDA Moerdijk","130818490705926"
"CDA","CDA Molenlanden","1742323026071422"
"CDA","CDA Neder-Betuwe","193223164173865"
"CDA","CDA Nederweert","555978747809634"
"CDA","CDA Nieuwkoop","496795367007470"
"CDA","CDA Nijkerk-Hoevelaken","223048671201039"
"CDA","CDA Nijmegen","214966521851616"
"CDA","CDA Nijmegen","102199762397232"
"CDA","CDA Noardeast-Fryslân","1230752613690039"
"CDA","CDA Noord-Beveland","307984155933663"
"CDA","CDA Noord-Holland","652006578218691"
"CDA","CDA Noordoostpolder","706168352729757"
"CDA","CDA Noordwijk-Noordwijkerhout-De Zilk","698451706850384"
"CDA","CDA OSS","265941240084225"
"CDA","CDA Oegstgeest","188918851165222"
"CDA","CDA Oirschot - De Beerzen","539113479503987"
"CDA","CDA Oldambt","215092768675210"
"CDA","CDA Oldebroek","101309594781402"
"CDA","CDA Oldenzaal - Lokaal denken met Hart voor Oldenzaal","176043465804478"
"CDA","CDA Ommen","1107043432765171"
"CDA","CDA Oost Gelre","1922003458049644"
"CDA","CDA Oosterhout","525429484174240"
"CDA","CDA Ooststellingwerf","364178284001821"
"CDA","CDA Opmeer","106071838152724"
"CDA","CDA Opsterland","260653317801997"
"CDA","CDA Oude IJsselstreek","202397083253332"
"CDA","CDA Oudewater","140492579462337"
"CDA","CDA Overijssel","206932742776182"
"CDA","CDA Pijnacker-Nootdorp","113477157926119"
"CDA","CDA Pride","480488435784054"
"CDA","CDA Provincie Groningen","773700796038689"
"CDA","CDA Provincie Utrecht","1559225897625340"
"CDA","CDA Purmerend","626270210729407"
"CDA","CDA Putten","683148381825916"
"CDA","CDA Raalte","418249331586629"
"CDA","CDA Rheden","110832328992856"
"CDA","CDA Ridderkerk","730409160385721"
"CDA","CDA Rijssen-Holten","1383251325233170"
"CDA","CDA Rijswijk","465110256923184"
"CDA","CDA Roerdalen","213470311998983"
"CDA","CDA Roermond","1437225106498399"
"CDA","CDA Roosendaal","475014605916202"
"CDA","CDA Rotterdam","285263391511635"
"CDA","CDA Rucphen","1632034280398658"
"CDA","CDA Schagen","878237565578799"
"CDA","CDA Schouwen-Duiveland","289998897791696"
"CDA","CDA Sint-Michielsgestel","151541561675000"
"CDA","CDA Sittard-Geleen","208450325865462"
"CDA","CDA Sliedrecht","463852240485142"
"CDA","CDA Sluis","220440588148776"
"CDA","CDA Smallingerland","1787602688161421"
"CDA","CDA Someren","445945465509986"
"CDA","CDA Stede Broec","213849225325847"
"CDA","CDA Steenwijkerland","251874718679696"
"CDA","CDA Stichtse Vecht","259815817386590"
"CDA","CDA Súdwest-Fryslân","214172838766648"
"CDA","CDA Terneuzen","134845486657988"
"CDA","CDA Texel","1617072838564740"
"CDA","CDA Tholen","432180513630207"
"CDA","CDA Tiel","359531417715396"
"CDA","CDA Tilburg","212200082218113"
"CDA","CDA Tubbergen","590878594284616"
"CDA","CDA Tytsjerksteradiel","555104901189545"
"CDA","CDA Uithoorn - De Kwakel","209971895842485"
"CDA","CDA Urk","195220513824326"
"CDA","CDA Utrecht","348600985220459"
"CDA","CDA Utrechtse Heuvelrug","1427674297467222"
"CDA","CDA Valkenburg a/d Geul","630170627073175"
"CDA","CDA Veenendaal","343995085744200"
"CDA","CDA Velsen","1590638864501610"
"CDA","CDA Venlo","102119459848996"
"CDA","CDA Venray","875156262507508"
"CDA","CDA Vijfheerenlanden","397283743670490"
"CDA","CDA Voerendaal","223550441155590"
"CDA","CDA Voorne aan Zee","100243972502065"
"CDA","CDA Voorschoten","404556366316410"
"CDA","CDA Voorst","164717517586976"
"CDA","CDA Vught Helvoirt Cromvoirt","430597160607656"
"CDA","CDA Waadhoeke","212787845829630"
"CDA","CDA Waalre","779064112119015"
"CDA","CDA Waddinxveen","191341550879682"
"CDA","CDA Wageningen","111119864740550"
